bond_name;placement_date;maturity_date;bond_link
Сибирский КХП-001P-03;2025-04-29;2029-04-08;https://bonds.finam.ru/issue/details040C2/default.asp
Первое клиентское бюро-001Р-07;2025-04-25;2028-04-09;https://bonds.finam.ru/issue/details0408B/default.asp
МТС-002Р-10;2025-04-25;2030-03-30;https://bonds.finam.ru/issue/details040B5/default.asp
АЛЬФА-БАНК-T2-CR-03;2025-04-25;2032-04-18;https://bonds.finam.ru/issue/details040B8/default.asp
С-Принт-БО-01;2025-04-24;2030-03-29;https://bonds.finam.ru/issue/details040AC/default.asp
РЖД-001P-42R;2025-04-24;2040-04-05;https://bonds.finam.ru/issue/details040A2/default.asp
МФК Мани Мен-БО-02-01;2025-04-24;2029-04-03;https://bonds.finam.ru/issue/details04095/default.asp
ГПБ Финанс-001Р-03Р;2025-04-23;2028-04-07;https://bonds.finam.ru/issue/details040B2/default.asp
ГК Самолет-БО-П16;2025-04-22;2028-04-06;https://bonds.finam.ru/issue/details040A0/default.asp
Банк ПСБ-003Р-13;2025-04-17;2028-04-13;https://bonds.finam.ru/issue/details040A6/default.asp
Атомэнергопром-001Р-05;2025-04-17;2030-04-11;https://bonds.finam.ru/issue/details0407A/default.asp
ХК Новотранс-001Р-06;2025-04-11;2028-09-22;https://bonds.finam.ru/issue/details0404C/default.asp
ТЕХНО Лизинг-001Р-07;2025-04-11;2030-03-16;https://bonds.finam.ru/issue/details04053/default.asp
АйДи Коллект-001Р-03;2025-04-11;2028-03-26;https://bonds.finam.ru/issue/details0408E/default.asp
Роял Капитал-БО-02;2025-04-10;2028-03-25;https://bonds.finam.ru/issue/details0405A/default.asp
ГЛОРАКС-001P-04;2025-04-09;2028-03-24;https://bonds.finam.ru/issue/details0402E/default.asp
Селигдар-001Р-03;2025-04-08;2027-09-25;https://bonds.finam.ru/issue/details0402F/default.asp
ЕнисейАгроСоюз-001Р-02;2025-04-08;2030-03-13;https://bonds.finam.ru/issue/details04082/default.asp
Сэтл Групп-002Р-04;2025-04-07;2030-03-12;https://bonds.finam.ru/issue/details04033/default.asp
ИНАРКТИКА-002Р-02;2025-04-07;2028-04-03;https://bonds.finam.ru/issue/details04048/default.asp
Лайм-Займ-001P-04;2025-04-04;2028-03-19;https://bonds.finam.ru/issue/details0404B/default.asp
Р-Вижн-001P-02;2025-04-03;2028-03-18;https://bonds.finam.ru/issue/details04041/default.asp
СФО ТБ-3-А;2025-04-02;2030-03-26;https://bonds.finam.ru/issue/details04046/default.asp
Служба защиты активов-БО-02;2025-04-02;2028-03-17;https://bonds.finam.ru/issue/details03FCA/default.asp
БиоВитрум-001Р-01;2025-04-02;2028-03-17;https://bonds.finam.ru/issue/details04043/default.asp
Аптечная сеть 36,6-002P-02;2025-04-01;2028-03-16;https://bonds.finam.ru/issue/details0401D/default.asp
Центр-резерв-БО-04;2025-03-31;2028-03-15;https://bonds.finam.ru/issue/details0404A/default.asp
СФО ГПБ-СПК-А1;2025-03-28;2034-03-26;https://bonds.finam.ru/issue/details03EFB/default.asp
СибАвтоТранс-001P-05;2025-03-28;2030-03-02;https://bonds.finam.ru/issue/details0403A/default.asp
ТЕХНОЛОГИЯ-БО-02;2025-03-27;2028-03-11;https://bonds.finam.ru/issue/details03FD2/default.asp
МСБ-Лизинг-003Р-04;2025-03-27;2030-03-01;https://bonds.finam.ru/issue/details03FE1/default.asp
ТАЛК лизинг-002P-01;2025-03-25;2028-03-09;https://bonds.finam.ru/issue/details04034/default.asp
РСГ-Финанс-001Р-02;2025-03-25;2028-03-21;https://bonds.finam.ru/issue/details0402D/default.asp
Бианка Премиум-БО-02;2025-03-25;2028-03-09;https://bonds.finam.ru/issue/details03FC2/default.asp
Пионер-Лизинг-03;2025-03-24;2035-01-31;https://bonds.finam.ru/issue/details03F97/default.asp
ИКС 5 ФИНАНС-003Р-11;2025-03-24;2035-03-02;https://bonds.finam.ru/issue/details03F67/default.asp
Интернешнл Петролиум Сервис-БО-01;2025-03-21;2030-03-15;https://bonds.finam.ru/issue/details0402A/default.asp
ДЕВАР ПЕТРО-001Р-01;2025-03-21;2028-03-05;https://bonds.finam.ru/issue/details0400C/default.asp
Биннофарм Групп-001Р-05;2025-03-21;2028-03-05;https://bonds.finam.ru/issue/details03FF9/default.asp
РЖД-001P-41R;2025-03-20;2040-03-01;https://bonds.finam.ru/issue/details04008/default.asp
Новосибирскавтодор-БО-03;2025-03-20;2028-03-04;https://bonds.finam.ru/issue/details03F68/default.asp
Интерлизинг-001P-11;2025-03-20;2029-02-27;https://bonds.finam.ru/issue/details03F99/default.asp
Брусника. Строительство и девелопмент-002Р-05;2025-03-19;2028-03-03;https://bonds.finam.ru/issue/details03FC8/default.asp
Глобал Факторинг Нетворк Рус-БО-07-001P;2025-03-18;2029-02-25;https://bonds.finam.ru/issue/details0401C/default.asp
Эффективные технологии-001Р-02;2025-03-17;2028-03-13;https://bonds.finam.ru/issue/details03FE4/default.asp
РСГ-Финанс-001Р-01;2025-03-17;2028-03-13;https://bonds.finam.ru/issue/details04016/default.asp
Вкусно-001П-02;2025-03-14;2035-01-21;https://bonds.finam.ru/issue/details04012/default.asp
Баррель-БО-01;2025-03-14;2028-02-27;https://bonds.finam.ru/issue/details03EC0/default.asp
АйДи Коллект-001Р-01;2025-03-14;2028-02-27;https://bonds.finam.ru/issue/details03CE4/default.asp
Роделен-002P-03;2025-03-13;2030-02-15;https://bonds.finam.ru/issue/details03FB3/default.asp
ПАТРИОТ ГРУПП-001Р-01;2025-03-13;2028-02-26;https://bonds.finam.ru/issue/details03FF3/default.asp
О’КЕЙ-001Р-07;2025-03-13;2035-02-19;https://bonds.finam.ru/issue/details03FC4/default.asp
МФК Быстроденьги-002P-08;2025-03-13;2029-02-20;https://bonds.finam.ru/issue/details0400D/default.asp
Михайловский Молочный Завод-001P-02;2025-03-12;2029-02-19;https://bonds.finam.ru/issue/details03FFB/default.asp
Воксис-001Р-02;2025-03-12;2029-02-19;https://bonds.finam.ru/issue/details03FF4/default.asp
ДЛ Цивилизация-01;2025-03-11;2028-02-24;https://bonds.finam.ru/issue/details04002/default.asp
Нафтатранс плюс-БО-07;2025-03-10;2029-02-17;https://bonds.finam.ru/issue/details03F93/default.asp
МТС-002Р-07;2025-03-10;2028-02-23;https://bonds.finam.ru/issue/details03FCF/default.asp
ЭР-Телеком Холдинг-ПБО-02-09;2025-03-07;2028-02-20;https://bonds.finam.ru/issue/details03FB4/default.asp
РЖД-001P-40R;2025-03-07;2035-01-14;https://bonds.finam.ru/issue/details03FD1/default.asp
РЖД-001P-39R;2025-03-06;2035-01-28;https://bonds.finam.ru/issue/details03FD0/default.asp
Кокс-001P-02;2025-03-06;2028-02-19;https://bonds.finam.ru/issue/details03FB1/default.asp
ДельтаЛизинг-001P-02;2025-03-06;2028-02-19;https://bonds.finam.ru/issue/details03F92/default.asp
ЭкономЛизинг-001Р-08;2025-03-05;2028-02-18;https://bonds.finam.ru/issue/details03F7C/default.asp
Группа ЛСР-001P-10;2025-03-05;2030-02-07;https://bonds.finam.ru/issue/details03F9E/default.asp
АФК Система-002Р-01;2025-03-04;2028-03-24;https://bonds.finam.ru/issue/details03FA6/default.asp
АПРИ-БО-002Р-09;2025-03-04;2030-02-06;https://bonds.finam.ru/issue/details03FDB/default.asp
Органик Парк-БО-П01;2025-02-28;2028-02-13;https://bonds.finam.ru/issue/details03F11/default.asp
ИКС 5 ФИНАНС-003Р-10;2025-02-28;2035-02-06;https://bonds.finam.ru/issue/details03F66/default.asp
Балтийский лизинг-БО-П15;2025-02-28;2028-02-13;https://bonds.finam.ru/issue/details03F76/default.asp
КЛВЗ КРИСТАЛЛ-001Р-02;2025-02-27;2028-02-12;https://bonds.finam.ru/issue/details03F8A/default.asp
РЖД-001P-38R;2025-02-26;2030-03-02;https://bonds.finam.ru/issue/details03FA1/default.asp
РЖД-001P-37R;2025-02-26;2028-08-24;https://bonds.finam.ru/issue/details03FB0/default.asp
МФК Мани Мен-БО-01;2025-02-25;2028-02-10;https://bonds.finam.ru/issue/details03DEC/default.asp
Уралкалий-ПБО-07-P;2025-02-24;2028-06-26;https://bonds.finam.ru/issue/details03F9B/default.asp
СФО СОВКОМ СЕКЬЮР-А;2025-02-24;2030-12-31;https://bonds.finam.ru/issue/details03E91/default.asp
Северсталь-001Р-01;2025-02-24;2028-02-09;https://bonds.finam.ru/issue/details03E37/default.asp
А Спэйс-001P-02;2025-02-21;2028-08-04;https://bonds.finam.ru/issue/details03F24/default.asp
ХРОМОС Инжиниринг-БО-03;2025-02-20;2028-02-05;https://bonds.finam.ru/issue/details03EB0/default.asp
МТС-001Р-28;2025-02-14;2028-01-30;https://bonds.finam.ru/issue/details03F6B/default.asp
РЕСО-Лизинг-БО-П-16;2025-02-13;2034-12-23;https://bonds.finam.ru/issue/details02EFA/default.asp
АПРИ-БО-002Р-07;2025-02-12;2030-01-17;https://bonds.finam.ru/issue/details03E4C/default.asp
РЖД-001P-36R;2025-02-11;2028-11-22;https://bonds.finam.ru/issue/details03F75/default.asp
ЕвроТранс-БО-001Р-06;2025-02-07;2030-01-12;https://bonds.finam.ru/issue/details03F27/default.asp
МГКЛ-001Р-07;2025-02-06;2030-01-11;https://bonds.finam.ru/issue/details03F49/default.asp
Биннофарм Групп-001Р-04;2025-02-06;2028-01-22;https://bonds.finam.ru/issue/details03F2E/default.asp
РЖД-001P-35R;2025-02-04;2028-08-07;https://bonds.finam.ru/issue/details03F3F/default.asp
РЖД-001P-34R;2025-02-04;2028-07-03;https://bonds.finam.ru/issue/details03F40/default.asp
ЛАНДСКЕЙП КОНСТРАКШН ХАБ-БО-02;2025-02-04;2028-01-20;https://bonds.finam.ru/issue/details03F08/default.asp
Европлан-001Р-09;2025-01-31;2028-07-14;https://bonds.finam.ru/issue/details03F23/default.asp
ТГК-14-001Р-05;2025-01-30;2029-01-09;https://bonds.finam.ru/issue/details03F18/default.asp
РДВ Технолоджи-001Р-01;2025-01-30;2029-07-26;https://bonds.finam.ru/issue/details03F0B/default.asp
ИКС 5 ФИНАНС-003Р-08;2025-01-27;2035-01-05;https://bonds.finam.ru/issue/details03F2F/default.asp
БЭЛТИ-ГРАНД-БО-П07;2025-01-27;2028-01-12;https://bonds.finam.ru/issue/details03D88/default.asp
НФК-Структурные инвестиции-001П-04;2025-01-23;2034-12-02;https://bonds.finam.ru/issue/details03EF9/default.asp
ЛАНДСКЕЙП КОНСТРАКШН ХАБ-БО-01;2025-01-16;2028-01-01;https://bonds.finam.ru/issue/details03F07/default.asp
ТК Магнум Ойл-БО-01;2025-01-14;2027-12-30;https://bonds.finam.ru/issue/details03EEC/default.asp
