Название облигации;ISIN;Дата размещения;Дата погашения;Ставка купона;Рейтинг;Цвет рейтинга;Ссылка
Банк ПСБ-003Р-13;RU000A10BFF4;2025-04-17;2028-04-13;18.3%;AAA;Зеленый;https://bonds.finam.ru/issue/details040A6/default.asp
Атомэнергопром-001Р-05;RU000A10BFG2;2025-04-17;2030-04-11;17.3%;AAA;Зеленый;https://bonds.finam.ru/issue/details0407A/default.asp
РЖД-001P-38R;RU000A10AZ60;2025-02-26;2030-03-02;17.9%;AAA;Зеленый;https://bonds.finam.ru/issue/details03FA1/default.asp
РЖД-001P-37R;RU000A10AZ45;2025-02-26;2028-08-24;19.5%;AAA;Зеленый;https://bonds.finam.ru/issue/details03FB0/default.asp
РЖД-001P-36R;RU000A10AUE8;2025-02-11;2028-11-22;19.95%;AAA;Зеленый;https://bonds.finam.ru/issue/details03F75/default.asp
РЖД-001P-35R;RU000A10ASZ7;2025-02-04;2028-08-07;20.1%;AAA;Зеленый;https://bonds.finam.ru/issue/details03F3F/default.asp
РЖД-001P-34R;RU000A10ASY0;2025-02-04;2028-07-03;20.1%;AAA;Зеленый;https://bonds.finam.ru/issue/details03F40/default.asp
Банк ДОМ.РФ-СУБ-T2-2;RU000A10A539;2024-11-25;2035-04-02;15.0%;AAA;Зеленый;https://bonds.finam.ru/issue/details03B18/default.asp
Банк ПСБ-003Р-09;RU000A109TJ6;2024-10-18;2027-10-15;20.5%;AAA;Зеленый;https://bonds.finam.ru/issue/details03D50/default.asp
СФО ВТБ РКС Эталон-04;RU000A109NC4;2024-10-07;2032-12-01;21.5%;AAA;Зеленый;https://bonds.finam.ru/issue/details03D29/default.asp
РЖД-001P-33R;RU000A109PF2;2024-10-02;2028-10-29;19.74%;AAA;Зеленый;https://bonds.finam.ru/issue/details03D47/default.asp
ДОМ.РФ Ипотечный агент-БО-001P-47;RU000A109NH3;2024-09-30;2053-05-28;19.3%;AAA;Зеленый;https://bonds.finam.ru/issue/details03D49/default.asp
